date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,8.8,7,11,10.9,,,18.9,,999.5,
2024-01-02 00:00:00,12,11,14,9.2,,,26.4,,985.6,
2024-01-03 00:00:00,10.4,9,12,0.2,,,21.4,,991,
2024-01-04 00:00:00,8.5,7,10,17,,,14.6,,999.2,
2024-01-05 00:00:00,6.7,6,8,1.9,,,17.5,,1001.5,
2024-01-06 00:00:00,5.8,5,6,0,,,9.8,,1016.5,
2024-01-07 00:00:00,3.7,3,5,0,,,11.3,,1027.3,
2024-01-08 00:00:00,2.7,2,3,1.2,,,17.3,,1031.9,
2024-01-09 00:00:00,2.9,2,4,0,,,23.3,,1031,
2024-01-10 00:00:00,2.7,0,6,0,,,12.2,,1029.5,
2024-01-11 00:00:00,3,1,5,0,,,8.6,,1036.6,
2024-01-12 00:00:00,5.4,4,6,0,,,9.3,,1035.8,
2024-01-13 00:00:00,3.3,1,4,0,,,10.8,,1025.3,
2024-01-14 00:00:00,4.4,3,6,0.5,,,13.2,,1013.1,
2024-01-15 00:00:00,1.6,-1,3,0,,,14.2,,1011.2,
2024-01-16 00:00:00,0.7,-2,5,0,,,10,,1007.9,
2024-01-17 00:00:00,1.2,-1,3,0,,,7,,993.6,
2024-01-18 00:00:00,-0.2,-4,3,0,,,11.2,,1007.3,
2024-01-19 00:00:00,1.4,-2,6,0,,,11.8,,1022.2,
2024-01-20 00:00:00,4.4,2,6,0,,,15.9,,1023.3,
2024-01-21 00:00:00,9.8,5,13,3.2,,,28.6,,1010,
2024-01-22 00:00:00,10.5,8,13,2.3,,,30.3,,1008.1,
2024-01-23 00:00:00,9.8,6,14,1.8,,,22.5,,1018.4,
2024-01-24 00:00:00,11.3,9,13,0,,,29,,1023.3,
2024-01-25 00:00:00,10.1,6,13,0.1,,,12.7,,1025.1,
2024-01-26 00:00:00,9.4,5,13,1.2,,,21.2,,1027.4,
2024-01-27 00:00:00,5.7,3,9,0,,,10.5,,1033.1,
2024-01-28 00:00:00,7.1,3,12,0,,,8.4,,1023.2,
2024-01-29 00:00:00,10.8,9,12,0.2,,,9.9,,1022.5,
2024-01-30 00:00:00,9.2,8,13,0,,,16.2,,1027.8,
2024-01-31 00:00:00,9,7,12,0.3,,,17.9,,1029.7,
2024-02-01 00:00:00,8,6,11,0.3,,,12.6,,1032.7,
2024-02-02 00:00:00,10,6,14,0,,,24,,1029.5,
2024-02-03 00:00:00,12.2,11,13,0,,,22.2,,1027.1,
2024-02-04 00:00:00,12.2,11,14,0,,,27.3,,1024.5,
